Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Zach Edey,C,39,32,25.2,8.6,13.8,62.3,0,0.1,50,7.9,11.2,71.1,12.2,2,0.3,2.2,2.3
Tommy Bruner,G,34,33.8,24,7.7,17.7,43.5,2.4,6.8,35.3,6.2,7.6,80.8,2.8,4.2,1.3,0.1,3.6
Terrence Shannon Jr.,G,32,34,23,6.8,14.4,47.5,2.4,6.7,36.2,6.9,8.6,80.1,4,2.3,1,0.9,2
Tyler Thomas,G,33,37.9,22.5,8,19.4,41.4,3.8,10.2,37.1,2.6,3.1,86.1,5.2,3.3,1.3,0.5,2.1
Xavier Johnson,G,32,36.7,22.2,6.6,15.6,42.2,2.1,5.8,36.8,6.8,7.7,89,4.1,6.1,1.5,0.3,3.3
David Jones Garcia,F,32,32.4,21.8,7,15.2,45.9,2.5,6.5,38,5.4,6.8,79.7,7.6,1.8,2.2,0.4,3
Tyson Acuff,G,27,37.9,21.7,8.1,18.7,43.3,1.8,6.2,29.2,3.7,4.5,81.1,3.6,2.8,1.1,0.1,2
Dalton Knecht,G,36,30.6,21.7,7.3,16,45.8,2.6,6.5,39.7,4.4,5.7,77.2,4.9,1.8,0.7,0.6,1.7
Jordan Sears,G,32,33.6,21.6,7.1,16.4,43.2,2.4,5.5,43.2,5.1,6,83.9,4.6,4.5,1.3,0.2,3.2
Tucker DeVries,G,34,35.5,21.6,7.2,16.2,44.4,2.6,7.1,36.3,4.6,5.7,81.3,6.7,3.7,1.6,0.3,2.5
Mark Sears,G,37,33.6,21.5,6.8,13.4,50.8,2.6,5.9,43.6,5.4,6.2,85.7,4.2,4,1.6,0.1,2.4
Jaedon LeDee,F,36,32.6,21.4,7.3,13.1,56,0.6,1.3,44.4,6.3,8.6,73.4,8.4,1.3,1.2,0.5,2.4
Jordan Johnson,G,32,35.8,21.3,6.6,17,38.7,2.5,7.4,34,5.7,6.9,82.4,3.2,3.8,1.5,0.2,2.4
Jalen Blackmon,G,35,34.8,21.3,7,16.3,42.8,3.1,8.3,38.1,4.2,4.6,90.7,2.9,1.9,0.8,0.1,1.9
PJ Haggerty,G,31,33.6,21.2,6.4,13,49.3,0.7,2.5,28.9,7.6,10,76.7,5.5,3.8,1.9,0,2.6
RJ Davis,G,37,34.8,21.2,7,16.4,42.8,3.1,7.7,39.8,4.1,4.7,87.3,3.6,3.5,1.2,0.2,1.5
BJ Freeman,G,27,32.2,21.1,7,16.6,42.2,2.4,7,35.1,4.7,5.7,82.4,6.6,4.1,1.1,0.4,3.6
Vonterius Woolbright,G,32,35.3,21.1,7.4,16,46,0.3,1.3,24.4,6,8.4,71.7,12,5.6,0.6,0,3.5
Keion Brooks Jr.,F,32,35.1,21.1,7.1,14.6,48.7,1.6,4.3,38,5.2,6.5,79.4,6.8,1.4,0.7,0.8,1.9
Riley Minix,F,35,33.8,20.9,7.8,14.4,54.1,1.7,4.8,34.9,3.7,4.4,83.9,9.7,2.2,1.3,1,2.3
Landon Glasper,G,24,36.1,20.9,6.3,17.8,35.7,2.6,8.6,30,5.6,7.4,75.8,3.6,2.2,1.4,0.1,1.9
Jayden Stone,G,26,35.9,20.8,7.2,17.1,42.2,2.4,7.7,31.2,4,5,79.4,5.6,2.7,1.5,0.3,2.5
Dillon Jones,F,31,37,20.8,6.9,14.2,48.9,1.1,3.4,32.4,5.8,6.8,85.7,9.8,5.2,2,0.1,3
David Coit,G,29,37,20.8,6.9,17,40.7,3.2,9.6,33.7,3.7,4.2,88.5,3.2,3.4,0.9,0.2,2.4
Elijah Pepper,G,33,33,20.7,6.5,15.8,41.5,3.1,8.2,37.1,4.5,4.9,92,4.6,2.1,1.7,0.3,1.9
Drew Pember,F,33,30.5,20.6,5.8,12.6,46.4,2,5.5,36.6,6.9,8.2,84.4,8.2,3.5,1,1.9,2.7
Marcus Hill,G,34,36.3,20.5,7.5,16.9,44.3,0.8,2.6,28.9,4.8,6.4,74,5,2.6,1,0.3,2.6
Xander Rice,G,33,35.2,20.4,6.1,15.9,38.3,2.8,7.9,34.9,5.5,6.5,85,3,3.6,1.3,0.1,2.1
Jahmir Young,G,32,35.3,20.4,6.2,15.4,40.4,1.8,5.4,32.4,6.2,6.9,90,4.9,4.2,1.3,0.3,2.7
DaRon Holmes II,C,33,32.4,20.4,6.6,12.1,54.4,1,2.5,38.6,6.2,8.8,71.3,8.5,2.6,0.9,2.1,2.2
Antonio Reeves,G,33,31.5,20.2,7.1,13.9,51.2,2.5,5.7,44.7,3.4,4,86.3,4.2,1.6,0.7,0.2,1.2
Frankie Fidler,F,33,36,20.1,6,13.3,45.2,1.6,4.4,35.6,6.5,7.7,85.4,6.3,2.6,1.2,0.4,1.6
Tyon Grant-Foster,G,34,33.4,20.1,6.2,14,44.6,1.5,4.4,33.1,6.2,8.3,74.5,6.1,1.6,1.7,1.5,2.5
Noah Reynolds,G,27,33.4,20,7.5,14.6,51.1,1.3,3.7,34,3.8,4.8,79.1,3.7,4.5,0.8,0.5,2.7
Ajay Mitchell,G,29,31.5,20,6.7,13.3,50.4,1.1,2.9,39.3,5.4,6.3,85.8,4,4,1.2,0.4,2.6
Marques Warrick,G,33,36.2,19.9,6.6,15.5,42.5,2,6.8,29.8,4.7,5.5,86.7,2.5,2.4,1.2,0.1,2.3
Issac McBride,G,31,38.6,19.8,6.6,14.8,44.8,2.1,5.3,39.4,4.5,5,89,3.5,3.1,0.9,0.1,1.7
Trazarien White,F,30,30.4,19.8,6.7,13.7,49.3,0.8,2,39,5.5,7.7,71.6,6.8,1.6,0.8,0.4,2.5
Saint Thomas,F,32,34.8,19.7,7,14.8,47.2,2,6.2,33,3.7,4.3,86.8,9.8,4.2,1.7,0.9,3
Devin Carter,G,33,35.3,19.7,6.6,14,47.3,2.5,6.8,37.7,3.9,5.2,74.9,8.7,3.6,1.8,1,2.7
KJ Simpson,G,37,35.1,19.7,6.6,13.8,47.5,2.1,4.9,43.4,4.4,5,87.6,5.8,4.9,1.6,0.1,2.2
Chaz Lanier,G,32,33.3,19.7,6.7,13.1,51,3.3,7.5,44,3,3.4,88,4.8,1.8,0.9,0.3,1.6
Tristan Enaruna,F,35,33.2,19.6,7.2,14.5,49.8,0.8,2.5,32.2,4.4,6.1,72.1,6.5,2.7,1.2,0.9,1.9
Sebastian Thomas,G,32,35.4,19.6,6.8,15.8,43.1,1.6,5.3,29.4,4.4,5.7,77.5,4.2,4.9,1.9,0.3,2.8
Kobe Sanders,G,29,33.6,19.6,6.1,13.4,45.9,1.3,3.9,33.9,6,6.9,87.4,3.7,3.2,0.8,0.3,2.9
Trey Calvin,G,31,35.4,19.6,6.8,14.2,48.2,2,5,40,3.9,4.4,89.6,2.4,4.2,1.5,0.1,2
Jaylon Tyson,F,31,34.4,19.6,7.2,15.4,46.5,1.6,4.5,36,3.6,4.6,79.6,6.8,3.5,1.2,0.5,3.1
Anthony Dell'Orso,G,32,33.3,19.5,7,14.2,49.2,1.5,4,38,4,4.9,80.9,6.5,1.9,1.6,0.5,2.4
Clarence Daniels,F,31,32.9,19.4,6.7,14.6,45.8,1.7,4.7,36.3,4.4,5.4,80.4,9.6,0.4,1.4,0.5,2.5
Quincy Olivari,G,34,32.2,19.1,5.8,13.7,42.5,3.1,7.6,40.9,4.4,5.4,81.4,5.6,2.1,1.4,0.1,1.6
Jacob Crews,G,32,33.4,19.1,6.4,13.3,48.5,2.8,6.7,41.4,3.5,4.3,81.6,8.2,1.1,0.8,0.5,1.3
Jason Edwards,G,34,32.6,19.1,6.3,14.8,42.5,2.5,7.1,35,4.1,5,80.7,2.4,1.4,0.8,0.1,2.3
Wade Taylor IV,G,36,32.9,19.1,5.9,16.3,36.6,2.7,8.4,32.5,4.5,5.3,84.7,3.5,4,1.8,0,2.8
Boo Buie,G,34,36.9,19,6.3,14.4,43.8,2.6,6,43.4,3.7,4.4,85.8,3.3,5,1.4,0.1,2.3
Dion Brown,G,32,32.3,19,7.7,15.2,50.6,1.4,4,34.9,2.2,2.9,76.1,7.6,2.6,1.3,0.5,3.1
Mervin James,F,32,31.7,18.9,7,13.4,51.9,0.7,1.4,46.7,4.3,5.1,84.8,6.1,1.9,1,0.9,2.8
Mikeal Brown-Jones,F,28,28.4,18.9,6.2,11.5,54,0.9,2.1,43.1,5.5,7,78.7,7.5,1.1,0.6,0.9,1.7
Judah Mintz,G,32,34,18.8,5.9,13.4,43.8,0.8,2.7,28.2,6.3,8.3,76.5,3.2,4.4,2.1,0.1,2.9
Zeke Mayo,G,35,35.9,18.8,6.2,13.4,46.6,2.6,6.7,39.1,3.7,4.5,82.8,5.7,3.5,1.1,0.2,3.1
Kino Lilly Jr.,G,30,38,18.8,6.6,16.6,39.5,3,8.8,34.1,2.7,3.3,81.6,2.4,3.6,0.8,0.2,2.7
De'Sean Allen-Eikens,F,33,33.7,18.8,6.3,13.2,48.2,1.1,2.9,36.1,5.1,6.8,74.2,5.3,2.3,1,0.2,3.2
Ken Evans Jr.,G,32,35.8,18.8,5.9,14.5,40.8,1.9,4.9,39.2,5,6.4,78.2,5.4,2.9,1.3,0.2,2.9
AJ McKee,G,33,31.6,18.8,6.5,14.6,44.7,1.9,5.8,32.3,3.8,5.2,73.4,4,2.4,1.7,0.3,1.9
Wesley Cardet Jr.,G,31,34.5,18.7,6.3,14.2,44.4,1.4,4.1,34.4,4.6,6.4,71.9,4.5,2.6,0.9,0.5,2.9
Basheer Jihad,F,30,32.6,18.6,5.9,13,45.1,1.3,3.8,35.4,5.6,7.4,74.9,8,1.8,1.1,1.1,3.4
Enrique Freeman,F,35,32.4,18.6,6.7,11.4,58.4,0.6,1.5,37,4.7,6.5,72.8,12.9,1.6,0.8,1.7,2.5
Jayden Epps,G,29,34.8,18.5,6.1,15.6,39.2,2.2,7.2,30.5,4.1,5.4,76.3,2.6,4.2,1.2,0.4,3.4
Baylor Scheierman,F,35,36.8,18.5,6.3,14,44.8,3.1,8.3,38.1,2.8,3.2,87.6,9,3.9,0.9,0.1,2.2
Blake Hinson,F,33,33.6,18.5,6.1,13.4,45.4,3.3,7.9,42.1,2.9,4.4,66.9,4.4,0.8,0.5,0.2,1.3
JP Pegues,G,30,34.1,18.4,5.7,13.7,42,2.8,7.6,36.2,4.2,4.8,87.5,4.3,4.8,1.2,0.2,2.1
Robert McCray V,G,32,30.6,18.4,6.6,13.2,50.2,1.7,4.7,35.8,3.5,4.8,71.6,4.2,2.9,1.3,0.2,2.5
Tyson Walker,G,34,32.9,18.4,7,15.6,44.9,1.9,5,37.6,2.5,3.4,74.6,2.9,2.8,1.9,0.1,1.4
Kevin McCullar Jr.,F,26,34.3,18.3,6.1,13.5,45.4,1.5,4.5,33.3,4.6,5.7,80.5,6,4.1,1.5,0.4,2.5
Bryce Pope,G,33,35.6,18.3,6.5,15.5,41.8,2.2,6.8,33.2,3.1,3.8,81.7,3.9,1.9,1,0.2,1.3
PJ Hall,C,36,28.9,18.3,6.7,13.7,48.8,1.4,4.6,31.5,3.5,4.5,77.9,6.4,1.4,0.8,1.4,1.9
Rayquan Brown,G,30,35.4,18.3,6.6,14.9,44,1.4,4.2,32.3,3.8,5.3,71.2,6,1.2,1.1,0.6,2.1
James Bishop IV,G,32,35.4,18.3,5.7,14.7,39,2.2,6,37.2,4.6,5.6,82.7,2.8,4.3,0.6,0.4,3
Johnell Davis,G,34,32.3,18.2,6.3,13,48.3,1.7,4.1,41.4,3.9,4.5,85.7,6.3,2.9,1.4,0.2,2.9
Sy Chatman,F,31,32.6,18.2,6.6,14.5,45.4,1.2,4.6,25.7,3.8,5.5,69.4,6.4,1.3,1.1,1.6,2.7
Keenon Cole,F,30,34.6,18.1,5.7,14.3,40.2,1.1,4.2,26.2,5.6,6.8,81.5,6.2,0.7,0.6,0.5,2.3
Jordan King,G,33,35.3,18,6.1,13.4,45.4,2.5,6.2,41.4,3.4,4.1,81.6,3.8,2.5,1.3,0.1,1.8
Hunter Sallis,G,34,35.4,18,6.6,13.5,48.7,2.2,5.4,40.5,2.6,3.4,78.3,4.1,2.5,1.1,0.6,1.9
Caleb Love,G,36,32.3,18,6.1,14.7,41.3,2.6,7.7,33.2,3.3,4,83.9,4.8,3.4,1.2,0.3,2.1
Clark Slajchert,G,22,34.6,18,6.7,13.8,48.7,2.6,6.1,42.2,1.9,2.3,82.4,3,2.9,1.2,0.1,2.2
Sherif Gross-Bullock,G,32,34.7,17.9,6,13.9,43.4,2.6,7.4,35.4,3.3,4.4,73.8,5.2,2.6,1,0.4,3.3
Cameron Tyson,G,34,32.1,17.9,5.9,14.3,41.2,3.4,8.7,39.4,2.7,3.1,87.6,4.2,1.4,0.7,0,1.7
Matt Balanc,G,34,33.1,17.9,5.9,13.8,42.6,2.5,7.1,35.8,3.6,4.2,86.6,4.7,1.3,0.8,0.2,1.4
Hunter Dickinson,C,33,32.2,17.9,7.6,13.8,54.8,0.7,2,35.4,2.1,3.3,62.4,10.9,2.3,0.9,1.4,1.8
Kaleb Higgins,G,32,31.8,17.9,6.5,15.2,42.7,1.3,4.4,29.1,3.6,4.1,87.8,2.8,3.7,1.1,0,2
Shahada Wells,G,33,32.2,17.8,6.2,13.5,46.2,1.5,3.8,38.4,4,5,79.4,4.5,4.7,3,0.3,2
KyKy Tandy,G,32,31.5,17.8,5.9,14.2,41.9,2.6,6.8,38.9,3.3,3.8,88.4,2.6,1.4,1.1,0.1,2.3
Darlinstone Dubar,G,33,34.6,17.8,6.8,12.5,53.9,2.2,5.5,39.9,2.1,2.8,73.4,6.8,1.4,1.2,0.9,1.4
Jarod Lucas,G,34,32.7,17.8,5.4,12.7,42.1,2.4,6,39.4,4.7,5.3,89.9,2.8,1.4,0.8,0,0.9
TY Johnson,G,32,30.6,17.8,5.9,13.3,44.3,1.1,3.4,32.1,4.9,6.4,77.1,3.7,3.3,1.8,0.1,2.9
Great Osobor,F,35,33.7,17.7,6.2,10.8,57.7,0.1,0.4,21.4,5.2,8.1,63.7,9,2.8,1.3,1.4,2.8
Rashad Williams,G,29,30.6,17.7,5.8,14.2,40.4,3.6,8.9,40.5,2.6,3.1,82.4,1.9,3,0.8,0,2.7
Sean East II,G,30,34.4,17.6,6.2,12,52.1,1.2,2.7,45,4,4.6,85.6,3.5,4,1.1,0.2,3
Dakota Leffew,G,30,35.5,17.6,6.5,15.1,43,2.5,6.8,36.5,2.2,2.8,76.5,4.3,3.9,1.5,0.6,2.9
Walter Clayton Jr.,G,36,31,17.6,5.6,13,43.2,2.6,7.1,36.5,3.8,4.3,87.7,3.6,2.6,1.1,0.6,2.2
Dawson Garcia,F,31,31.9,17.6,6,12.4,48.6,0.9,2.9,31.9,4.6,5.7,80.2,6.7,1.6,0.8,1,2
Marcus Tsohonis,G,31,29,17.6,6.1,15.2,40,1.3,4.3,29.3,4.2,5.5,76.9,3.2,2.9,1.3,0.2,2
Trey Alexander,G,35,37.2,17.6,6.6,14.9,44.6,1.8,5.2,33.9,2.5,3.1,82.4,5.7,4.7,1.1,0.4,2.5
Jordan Pope,G,32,35.6,17.6,6.3,13.9,45.1,2.1,5.6,37.1,2.9,3.3,87.9,2.6,3.4,0.7,0.1,2.3
Alston Mason,G,30,35.2,17.5,6,14.2,42.3,2.4,6.8,35.3,3.1,4,78.3,3,3.6,0.8,0.1,2.4
Duke Miles,G,33,30.5,17.5,6.4,12.1,52.8,1.3,3.7,36.1,3.4,4.3,80.1,2.4,3.6,1.3,0.2,2
Markus Burton,G,33,33.8,17.5,6.4,15.1,42.1,1.3,4.2,30,3.5,4.2,82.1,3.3,4.3,1.9,0.2,3.7
"Kevin Cross, Jr.",F,30,36.1,17.5,5.9,11.5,51.3,0.7,1.7,42.3,4.9,6,81.8,7.3,4.6,1.3,0.9,3
Honor Huff,G,33,34.5,17.4,5.5,12.6,43.4,3.3,8.7,38,3.2,3.9,82.8,2.7,2.6,1.7,0.1,1.3
Robbie Avila,C,37,31.2,17.4,6.1,11.3,53.6,1.6,4.2,39.4,3.6,4.5,80.8,6.6,4.1,0.7,0.6,1.8
Deon Perry,G,29,33.1,17.3,5.7,14.9,38.4,2.7,7.8,35.1,3.2,3.5,91.1,2.6,2.9,1.5,0,2.9
Kobe Julien,F,33,31.5,17.3,5.9,13.2,44.6,1.6,4.9,32.5,4,4.8,82.4,4.8,1.2,1.1,0.7,2.2
Erik Reynolds II,G,35,34.6,17.3,5.5,13.1,42,3.2,8.4,38,3.1,3.5,87.1,2.7,2.7,1.2,0.2,1.4
RJ Felton,G,33,34.6,17.3,6.1,14.1,43.1,2.1,6,35.5,3,3.8,77.8,6,1.3,1.8,0.6,1.4
Ryan Kalkbrenner,C,35,34.6,17.3,6.9,10.7,64.6,0.5,1.5,29.6,3,4.3,71.1,7.6,1.3,0.4,3.1,1.5
Trey Townsend,F,36,36.4,17.3,6.1,13.4,45.5,0.3,0.9,37.5,4.7,6,77.9,8.1,3.1,1.3,0.3,2.5
Kam Jones,G,36,28.9,17.2,6.5,13,50.1,2.6,6.5,40.6,1.5,2.1,72.4,2.9,2.4,1.1,0.1,1.4
Michael Ajayi,G,33,34.7,17.2,6.2,13.4,46.7,1.2,2.5,47,3.5,5,70.9,9.9,1.9,0.9,0.5,2
Malik Mack,G,24,33.3,17.2,5.6,13.6,41,1.9,5.5,34.1,4.2,5.1,81.3,4,4.8,1.3,0.1,2.5
Ja'Kobi Gillespie,G,25,31.4,17.2,6.6,11.8,56.1,1.6,4.2,38.7,2.4,2.8,83.1,3.8,4.2,2.2,0.3,2.4
Terrence Edwards Jr.,G,36,30.2,17.2,5.6,13.2,42.7,1.3,3.7,34.3,4.6,5.7,81,4.4,3.4,0.9,0.3,2.4
Jeremiah Hernandez,G,31,31.3,17.2,4.9,11.8,41.7,0.8,2.6,31.7,6.5,8,81,3.3,1.8,1.5,0.2,2.6
Jyare Davis,F,32,33.3,17.1,6.3,13.4,46.6,0.6,2.4,25.6,4,4.9,81.4,7.5,2.4,0.8,0.8,1.8
Josh Hubbard,G,35,27.7,17.1,5.3,13.7,38.5,3.1,8.7,35.5,3.5,4.1,85.3,2.2,1.7,0.7,0.1,1.2
Xaivian Lee,G,29,31.1,17.1,5.9,13,45.1,1.8,5.3,33.8,3.6,4.4,79.8,5.7,3.7,1,0.5,1.4
DJ Brewton,G,31,33,17,6.5,14.5,45.3,1,3.1,33,2.9,4.3,68.2,4.8,2.4,1.5,0.2,2.1
Norchad Omier,F,31,30.6,17,6.4,11.6,55.2,0.8,2.2,35.3,3.5,4.6,75,10,1.2,1.5,0.8,2.3
Jordan Derkack,G,32,33,17,5.4,11.5,46.6,1,3.8,27.5,5.3,7.3,72.4,6,3.9,2.1,0.2,4
Branden Carlson,C,36,29.6,17,6.4,12.9,50.1,1.8,4.7,37.9,2.4,3.3,71.4,6.6,1.6,0.4,1.5,1.5
Quinten Post,C,35,31.9,17,6.3,12.3,51.4,1.4,3.3,43.1,2.9,3.5,82.1,8.1,2.9,0.9,1.7,2.5
Kylen Milton,G,29,31.8,17,5,9.8,50.5,1.2,3.3,35.1,5.9,8,73.7,6.6,2.9,1.2,0.3,2.1
Deyton Albury,G,32,28.3,17,5.8,12.1,48.2,0.6,1.7,36.4,4.7,6.3,75,5.8,3.7,1.2,0.4,3.3
Tyren Moore,G,32,28,17,5.8,12.5,46.8,2.3,5.6,40.6,3,3.5,86.5,2.8,3.1,1.1,0.1,1.9
Austin Benigni,G,31,33.5,17,5.3,13.7,38.7,0.6,2.5,24.7,5.7,6.7,84.7,2.9,3.8,0.7,0.1,2.4
Tyler Robertson,G,33,35.6,16.9,6.1,13.5,45.2,2,5.5,37.2,2.7,3.4,81.1,4.5,3.8,0.8,0.2,2.3
Malik Dia,F,33,23.2,16.9,6.4,13,48.8,1.3,3.9,34.1,2.9,4.5,63.8,5.8,1.2,0.8,0.8,2.7
DJ Horne,G,40,32.5,16.9,6,13.8,43.6,2.6,6.5,40.4,2.3,2.8,81.4,3.5,2.1,1.3,0.1,1.4
Caleb Fields,G,35,35.3,16.9,5.8,13.2,43.6,3.2,8.3,38.8,2.1,3,72.1,4.1,2.7,1.4,0.1,1.3
DeMarcus Sharp,G,29,35.7,16.9,7.1,15.7,45.3,0,0.5,6.7,2.7,3.6,74.8,6.4,4.2,1.9,0.9,1.9
Jamarii Thomas,G,33,31.1,16.9,4.7,11.6,40.4,1.6,4.2,38,5.9,7.3,80.9,3.8,3.8,2.1,0.1,2.4
Sam Griffin,G,32,34.4,16.9,5.6,13,43.1,2.4,6.1,39.2,3.3,4,83.5,3.7,3.4,0.7,0,2.4
Isaiah Stafford,G,29,32.1,16.9,6.1,16,37.9,2,6.7,29.4,2.8,3.8,73.4,3.7,2.1,1.6,0.2,1.5
Terrell Burden,G,31,31.2,16.8,5.6,12.8,44.2,1.1,3.6,31,4.4,6.9,64.3,3.5,6.3,1.4,0.4,2.8
Aanen Moody,G,36,33.4,16.8,6.3,12.9,49.2,2.4,6.2,39,1.8,2,87.5,3.4,2.3,0.9,0.1,1.7
AJ Storr,G,36,28.8,16.8,6,13.8,43.4,1.3,4.2,32,3.5,4.3,81.2,3.9,0.9,0.6,0.1,1.6
Max Abmas,G,34,35,16.8,5.7,13.4,42.5,2.7,7.5,36.2,2.6,2.9,90,3.1,4.1,0.9,0.1,2.3
BJ Omot,F,32,35.2,16.7,6,14.4,41.6,1.7,5.9,28.2,3.1,4.4,70,4.2,1.4,0.8,0.9,1.3
Travis Evee,G,32,33.7,16.7,5.8,13.7,41.9,2.3,6.8,34.3,2.9,3.5,82.9,3.4,2.1,1,0.3,1.8
Amar'e Marshall,G,32,32.2,16.7,6,13.8,43.4,1.5,4,37.2,3.2,4.2,76.1,5,2.1,1.8,0.6,2.8
Tyson Degenhart,F,32,33.1,16.7,5.6,11.1,50.3,0.9,3,31.6,4.6,5.8,79.1,6.2,1.5,1.1,0.3,1
Eric Dixon,F,34,30.5,16.6,5.7,12.2,46.5,1.6,4.7,34.6,3.7,4.3,86.2,6.5,1.7,0.8,0.4,1.8
Desmond Claude,G,34,33.6,16.6,6,14.1,42.6,0.8,3.3,23.9,3.9,4.9,79.4,4.2,3.2,1.1,0.3,2.2
Trent McLaughlin,G,33,34.9,16.6,5.6,14,39.8,2.2,6.8,32.9,3.2,4.2,77,3.2,1.9,1.5,0.2,2.1
Marcus Tankersley,G,32,36,16.6,6.2,13.2,46.7,0.6,2.1,27.9,3.7,4.6,80.4,3.8,2.2,0.8,0.1,2.1
Caden Pierce,F,29,32.9,16.6,6.1,11.2,54.6,0.9,2.7,34.2,3.4,4.4,76.7,9.2,3.2,1.2,0.5,1.8
Keyshawn Hall,G,29,30.6,16.6,5.6,11.9,47.4,1.4,4,35.7,3.9,4.7,84.4,8.1,1.4,0.4,0.3,2.3
Jermaine Couisnard,G,36,32.3,16.6,5.5,13.8,40,2,5.9,34.6,3.5,4.6,75.4,4.6,3.3,1.6,0.2,1.7
Tyler Stephenson-Moore,G,33,34.9,16.6,5.4,12,44.6,2.6,6.1,43.5,3.2,3.8,84.8,3.8,1.2,1.1,0.7,1.1
Bryce Harris,G,35,31.7,16.6,5.8,10.7,54.7,0.8,2.1,37.5,4.1,5.6,74,7.5,1.7,1.1,1.1,1.7
Elijah Elliott,G,30,35.3,16.6,5.7,15.7,36.3,1.1,4.9,23.1,4,5.6,71.6,3.5,3,1.6,0.3,2.8
Ryan Conwell,G,38,33.9,16.6,5.4,11.1,48.2,2.9,7.1,40.7,2.9,3.4,85.5,5.8,2.5,1.1,0.3,1.7
Chisom Okpara,F,26,30.5,16.5,5.7,11.8,47.9,1,3.1,33.8,4.2,6.2,67.3,5,2,0.8,0.7,2.4
Boogie Ellis,G,29,33.7,16.5,5.6,13.1,42.7,3,7.2,41.8,2.3,3.2,72,3.5,3,1.4,0.1,1.8
Johni Broome,F,35,24.7,16.5,6.2,11.4,54.8,0.8,2.3,35.4,3.2,5.2,61.5,8.5,2.2,0.9,2.2,1.6
Graham Ike,F,35,24.2,16.5,6.6,10.9,60.9,0.2,0.5,36.8,3,3.8,78.4,7.4,0.9,0.6,0.7,1.6
Tyrece Radford,G,31,32.8,16.5,6,14.7,41.1,1.1,4,28,3.3,4.7,69.2,6.5,2.6,0.5,0.1,1.4
