Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Jayden Taylor,G,41,27.4,11.2,3.5,8.4,41.3,1.6,4.3,36.4,2.6,3.5,75.5,3.6,1.3,1.1,0.5,1.5
Steven Crowl,F,36,29,11.2,4.3,7.8,55.6,0.7,1.6,44.8,1.8,2.5,74.2,7.3,2.1,0.3,0.5,1.7
Rylan Griffen,G,36,26.3,11.2,3.7,8.1,45.4,2.1,5.3,39.2,1.8,2.2,81,3.4,1.9,0.5,0.3,1.4
Quentin Millora-Brown,F,32,32.4,11.2,4.4,7.5,59.4,0.1,0.6,15,2.2,4,54.7,9.4,2,0.7,1.5,1.7
Javohn Garcia,G,32,26.8,11.2,3.8,8.2,46.2,1.3,2.8,44.4,2.3,3.1,75,3.3,1.7,1.3,0.4,0.8
Harlond Beverly,G,33,30.3,11.2,4.5,10.1,44.3,0.5,2,25.8,1.7,2.6,65.5,5.1,3.1,1.4,0.4,2.6
Alejandro Vasquez,G,34,23,11.1,3.9,8.8,44,1.2,3.1,39.4,2.2,2.8,80.9,3.4,1.1,0.6,0.3,1.2
Steven Ashworth,G,35,31.7,11.1,3.5,8.8,39.4,2.3,6.5,34.9,1.9,2.1,90.7,3.3,4.2,0.5,0,1.5
Tyreke Locure,G,30,29.3,11.1,3.5,9.9,35,1.6,4.5,35.3,2.6,4,64.5,4,3.2,1.9,0.1,2
Will Johnston,G,31,28.9,11.1,3.8,9.5,40.1,2.1,5.5,37.8,1.4,1.7,81.5,2.5,2.7,0.6,0,1.4
Julius Mims,F,32,27.6,11.1,4.7,7.4,63.3,0.6,1.7,33.3,1.2,2.1,55.9,7.2,1,1.1,1.5,1.4
Toby Okani,G,33,32.4,11.1,4.2,10.7,39.4,1,3.1,32,1.7,3,57.1,6.8,1.9,1.5,2,2.6
Bez Mbeng,G,33,32.4,11.1,4,9.4,42.1,1,4,25.2,2.2,3.2,68.6,4.2,4.1,1.9,0.3,1.8
Issa Muhammad,F,28,29.5,11.1,4.6,9,51,0.1,0.5,26.7,1.8,2.8,62,9.4,1.8,0.9,0.8,1.7
Justin Wright,G,29,26.4,11.1,4.2,8.7,49,0.6,1.8,30.8,2.1,2.6,81.1,3.4,1.9,0.5,0.1,1.3
Casey Morsell,G,41,32.6,11.1,3.9,9.6,40.6,0.9,3.3,27,2.4,3,80.6,2.8,1.6,1.1,0.5,0.9
Koren Johnson,G,31,24.2,11.1,4,9,44.1,1.3,3.5,37.3,1.8,2.5,72.2,2.2,2.7,1.2,0.3,1.4
Nick Honor,G,32,31.5,11.1,3.4,9.7,35.4,2.3,6.3,36.5,1.9,2.3,86.1,1.2,1.7,0.9,0.1,1.3
Koby Brea,G,33,29.1,11.1,3.8,7.5,51.2,3,6.1,49.8,0.4,0.5,87.5,3.8,1.2,0.5,0.3,0.7
Tyrese Hunter,G,33,32.2,11.1,4.1,9.1,45.2,1.1,3.2,34.3,1.8,2.5,71.6,2.9,4.1,1.3,0.2,2.7
Jaxon Brenchley,G,34,29.2,11.1,3.8,7.4,51.2,0.9,2.1,41.4,2.6,3.6,73.2,5.6,2.8,1.2,0.4,1
Stephon Castle,G,34,26.9,11.1,4,8.5,47.2,0.6,2.2,26.7,2.4,3.2,75.5,4.7,2.9,0.8,0.5,1.5
Nakyel Shelton,G,29,26.9,11,4,9.6,41.9,1.3,3.9,33.9,1.7,2.1,77.4,4.4,1.9,0.4,0.3,1.6
Jamiya Neal,G,32,32.8,11,4.2,10.2,41.5,1.2,4.4,27.5,1.4,2.1,66.7,5.4,1.8,1.1,0.4,1.1
Will Baker,F,33,23.6,11,4,8,50.2,0.8,2.1,35.7,2.2,3.1,72.3,4.8,0.8,0.3,0.6,1.8
Keegan Records,F,33,25.5,11,4.5,8,56.7,0.2,0.6,23.8,1.8,2.5,73.5,6.2,1.2,0.6,1.2,1.2
Jared Coleman-Jones,F,33,28.1,11,3.8,8.5,45.2,0.6,1.3,44.2,2.8,3.6,77.1,7.6,2.3,0.6,1.1,3.2
Paul Otieno,F,34,27.1,11,4.6,7.2,63.8,0.1,0.2,33.3,1.7,2.6,67.8,6.9,0.5,1.2,1,1.2
Aaron Deloney,G,35,26,11,3.8,9,42.5,1.6,4.7,33.7,1.8,2.2,81.6,2.6,3,0.4,0,1.1
Cameron Brown,G,35,32.3,11,4.1,9.8,41.5,2.3,6.4,36.8,0.6,0.8,69,4.1,1.3,1.1,0.2,0.9
Curtis Jones,G,37,26.9,11,3.8,9.7,39,2,5.6,35.1,1.5,1.8,80.9,2.9,2,1.4,0.1,0.8
Julian Larry,G,39,34.4,11,3.7,7.1,52.5,1.1,2.3,46.2,2.5,3.2,78,2.8,4.8,1.5,0.1,2.1
Aaron Scott,G,34,30.3,11,4,9.6,41.9,1.3,3.5,37,1.6,2.1,78.9,5.6,1.8,1.1,1.3,1.5
Joshua Petion,G,1,23,11,5,9,55.6,0,2,0,1,2,50,6,0,1,0,3
Johnny O'Neil,F,33,25.7,11,4.2,9.5,43.5,1.6,4.9,32.5,1.1,1.6,66,5.5,1.6,0.8,0.8,1.4
Noah Carter,F,32,26,11,3.8,9.4,40.1,1.2,4.1,28.8,2.2,2.8,79.8,4.8,1.4,0.8,0.8,1.2
David Thomas,G,31,22.8,11,4.4,9.7,45.2,1.1,2.8,40.2,1.1,1.5,71.7,2.4,2.3,0.6,0.1,1
Bryce Monroe,G,30,30.1,11,4.1,10.4,39.3,0.6,2.3,27.9,2.1,2.7,80,2,2.6,0.9,0,2.3
Jaron Rillie,G,28,34.2,11,4.1,8.8,46.9,0.9,2.6,34.2,1.9,2.6,71.2,4.1,4.6,1.1,0.2,2
Micah Peavy,G,34,29.2,10.9,4.3,9.4,45.8,0.8,2.6,31,1.5,2.5,60.7,4.9,2.6,1.3,0.2,1.7
Lynn Greer III,G,32,29.7,10.9,3.8,8.6,44.7,0.4,1.4,30.4,2.8,3.7,76.9,4.7,3.7,1,0.1,2.4
Fousseyni Traore,C,26,18.3,10.9,4.3,6.9,62.6,0.1,0.1,66.7,2.2,3.1,71.6,5.2,1.3,0.6,0.8,1.7
Chico Carter Jr.,G,25,33.6,10.9,3.9,9.8,39.4,1.6,4.4,35.8,1.6,2.1,76.9,2.8,3.7,0.7,0.3,2.2
Sam Brown,G,25,29.8,10.9,3.5,8.1,43.3,2.4,5.6,43.3,1.4,1.7,83.7,2.9,1.9,0.5,0.2,1.2
Milan Momcilovic,F,37,30.2,10.9,3.9,9.2,42.4,1.6,4.6,35.9,1.5,1.8,80.9,3.1,1.2,0.5,0.4,0.8
Keenan Fitzmorris,C,35,24.7,10.9,3.9,7.7,50.9,0.3,0.8,33.3,2.8,3.7,76.7,4.4,1,0.3,1.1,1.4
Dexter Akanno,G,30,28.6,10.9,3.5,8.9,39,1.3,3.9,32.5,2.7,3.8,70.4,2.9,1.3,0.9,0.2,1.6
Charles Pride,G,30,30.2,10.9,3.6,8.3,44,1.4,3.5,40,2.2,2.7,82.7,5.7,1.6,1.2,0.1,0.7
Kobe Johnson,G,31,31,10.9,4.1,10.1,40.4,1.3,4.1,31.3,1.5,2,72.6,4.6,3.3,2.2,0.8,2.1
Trey Anderson,F,29,31.6,10.9,4.2,8.9,46.7,1.3,3.7,36.4,1.2,1.5,77.3,4.4,1.2,0.4,0.6,0.7
CJ Noland,G,29,26.1,10.9,3.8,8.8,43.7,1.1,3,38.4,2.1,3,69,2.8,2,1,0.2,1.8
Yacine Toumi,F,33,25,10.8,4.5,8.4,54.3,0.2,0.8,21.4,1.6,2.7,58.4,6.5,1.5,0.7,0.5,2.2
Daylen Williams,F,31,33.6,10.8,3.3,7.3,45.6,0.4,1.4,25.6,3.8,5,76.8,7.2,2.5,1.3,0.5,2.4
David Joplin,F,37,27.7,10.8,3.8,9.2,41.3,1.9,5.5,35.5,1.3,1.9,68.1,3.9,0.6,0.8,0.9,1.2
Christian May,G,34,29.9,10.8,3.8,9.8,38.9,1.9,5.4,34.1,1.4,2.2,61.8,4.1,1,0.5,0.2,1.6
Chance McMillian,G,33,27.8,10.8,3.8,8,47.5,2,5.1,38.7,1.2,1.3,90.9,4,1.2,0.7,0.2,0.7
Miles Brewster,G,33,26.9,10.8,3.6,8.4,43.2,1.5,3.7,40.7,2,2.8,71.3,3.8,3.3,1.5,0.2,1.4
Jeremiah Quigley,G,33,27.9,10.8,3.7,9,41.4,0.5,1.5,33.3,2.8,3.7,77,3.3,3.3,0.8,0.1,1.7
Elvin Edmonds IV,G,27,34.4,10.8,3.9,9.3,41.6,1.1,4,28.4,2,2.6,76.8,3.4,4.4,1.4,0.1,2.5
Dane Erikstrup,F,32,18.9,10.8,3.5,8,43.2,1.2,3.6,34.2,2.7,3,87.6,3.3,1.6,0.8,0.5,1.4
Braden Housley,G,31,34.6,10.8,3.7,9.7,37.7,1.3,4.9,27.2,2.1,3.4,62.9,3.5,3.6,1.6,0.4,2.3
Eli Wilborn,F,30,25.6,10.8,4.1,7.5,54,0,0.2,16.7,2.6,4.7,56,7.4,1.7,0.8,1.6,1.9
Sam Alexis,F,33,26.4,10.8,4.5,8.2,55,0.4,1.6,26.9,1.3,2.8,48.4,9.1,1.8,0.3,2.1,1.8
Michael Jones,G,32,30.4,10.8,3.7,7.3,50,1.8,4.2,41.8,1.7,2.4,71.4,2.6,2.1,0.9,0.1,1.1
Dallion Johnson,G,32,29.2,10.8,3.9,9.6,40.3,2.5,6.3,39.1,0.6,0.7,81.8,3.2,1,0.8,0,0.7
Laurynas Vaistaras,F,32,25.5,10.8,4.1,7.6,54.3,0.9,2.1,42.4,1.7,2.3,70.7,4.3,3.1,1.2,0.2,1.4
Blaise Threatt,G,32,24.1,10.8,4.2,7.7,54.9,0.6,1.7,35.2,1.8,2.5,70,3.5,2.1,1.1,0,1.4
Bo Montgomery,G,26,31.2,10.8,3.8,9.3,41.1,1.2,3,39.7,2,2.8,68.9,4.7,2.7,0.6,0.2,2.7
Makaih Williams,G,34,24.4,10.8,3.3,7.5,44.5,1.3,2.8,45.3,2.9,3.8,75.8,2.9,2.8,0.9,0.2,2.9
Nick Spinoso,F,29,28.3,10.8,4.6,9,51,0.1,0.6,11.8,1.5,3.2,47.3,7.9,3.7,0.7,1,2.7
Kyle Rose,G,33,28.5,10.8,3.6,8.4,42.8,2.1,5.2,39.8,1.5,2.3,64.5,4.8,2.3,2.1,0.4,1.5
Nate Martin,F,33,31.7,10.8,4.1,7.2,57.4,0,0,0,2.5,3.6,69.7,10.1,2.8,0.7,1.3,1.5
Rasheer Fleming,F,35,26.8,10.7,4,7.6,52.8,1,3,32.4,1.7,2.8,61.2,7.4,0.8,0.8,1.5,1
Derrick Butler,G,31,28,10.7,3.7,9,41.7,1.7,4,41.6,1.6,2.2,73.1,4.2,0.7,0.7,0.2,1
Yves Missi,C,34,23,10.7,4.1,6.7,61.4,0,0,0,2.5,4.1,61.6,5.6,0.4,0.6,1.5,1.1
James Dent Jr.,G,33,26.4,10.7,3.1,9.7,31.9,1.5,5.1,29.9,3,4.2,72.5,3.9,1.7,0.8,0.2,1.7
Brody Peebles,G,32,21.3,10.7,4,8.8,45.4,1.4,4.2,33.6,1.3,1.5,87.5,1.9,0.7,0.3,0,0.8
Damari Wheeler-Thomas,G,32,33.9,10.7,3.9,8.7,45.1,0.8,2,36.9,2.2,2.6,83.1,2.3,2.5,0.6,0,1.6
Chance Moore,G,31,26.8,10.7,3.7,9,41.2,1.4,4.8,29.5,1.9,3,61.7,5.3,0.5,0.7,0.9,0.8
Tre Mitchell,C,27,30.2,10.7,3.8,7.9,48.4,0.9,3,30.5,2.1,2.9,74.4,7.2,2.6,0.7,1,1.4
AJ Hoggard,G,35,28.7,10.7,3.8,9.3,40.7,0.7,2.1,34.7,2.4,3.1,78.7,3.1,5.2,1.4,0.3,1.8
Luis Rodriguez,G,31,32.1,10.7,3.7,9,41.1,1.3,4.1,31,2,2.6,77.5,6.6,1.5,1.6,0.4,1.1
Josh Pascarelli,G,31,27.2,10.7,4.1,9.3,43.8,2,5.3,37.8,0.5,0.8,65.4,3,1.4,0.2,0.1,1.3
Alec Oglesby,G,34,33.8,10.7,3.5,8.3,42,2.2,5.5,40.3,1.5,1.7,84.7,4.4,1.2,0.6,0.3,1
Beon Riley,G,24,28.5,10.7,3.7,7.5,49.7,0.5,1.3,40.6,2.7,3.3,81.3,5.5,1.8,1,0.1,1.5
BB Knight,G,33,22.5,10.7,3.2,7.8,40.6,2,5.4,37.1,2.4,2.7,87.6,2,0.8,0.5,0.1,1.5
Jack Collins,G,33,34.5,10.7,3.7,9,41.2,2,6.3,31.7,1.3,1.9,65.6,6.5,2.2,1.3,0.4,1.3
Femi Odukale,G,26,28.7,10.7,3.8,8.7,43.2,0.5,1.6,31,2.6,5.3,49.6,6.4,3,1.1,1,2.2
Rodney Johnson Jr.,F,26,26.8,10.7,4.5,9.7,45.8,0.6,2.4,25.8,1.1,1.3,82.9,5.1,0.7,0.4,1,1.3
Eddie Lampkin Jr.,C,37,27.8,10.6,4.3,7.4,57.9,0,0,0,2.1,3.2,66.1,7,2.2,0.3,0.1,2.6
Otis Frazier III,F,34,27.5,10.6,3.6,7.5,48.8,0.7,2.4,28.7,2.7,4.1,65.5,4.7,1.8,2.2,0.3,1.2
Owen Freeman,F,34,22.8,10.6,4.3,6.9,61.4,0,0.1,0,2.1,3.2,66.1,6.6,1.2,0.9,1.8,1.1
Trevin Knell,G,33,24.2,10.6,3.5,7.7,45.3,2,5.3,38.5,1.6,2.1,77.1,3.4,1.3,0.6,0.1,0.6
Kendall Blue,G,33,28.1,10.6,4.1,8.2,49.6,1.2,3.8,32,1.3,2,66.2,4.1,1.6,0.8,0.3,1
Jake Kyman,G,32,27.3,10.6,3.6,8.4,42.8,2.1,5.2,40.6,1.3,1.6,82.7,2.6,2.1,0.5,0.2,1.1
Fletcher Abee,G,34,28.2,10.6,3.5,8.6,40.9,2.2,5.4,40.8,1.4,1.5,96,1.6,1.3,0.5,0.1,0.8
Tyler Wahl,F,36,28.4,10.6,4.1,7.6,53.5,0.1,0.4,18.8,2.4,3.7,65.9,5.4,1.9,1.1,0.6,1.7
Jo'el Emanuel,F,32,29.7,10.6,3.3,7.4,45.3,0.4,1.7,26.4,3.5,5.2,66.9,5.2,1.8,1,0.2,1.8
AJ George,G,36,28,10.6,4,7.6,53.3,0.3,0.9,34.4,2.2,3.1,72.1,4.1,1.5,0.7,0.5,1.5
Trey Galloway,G,31,33.3,10.6,4.2,9.1,46.6,0.8,3.2,26,1.3,2.4,53.3,2.9,4.6,1.2,0.2,2.1
Taeshaud Jackson,G,31,29.6,10.6,3.7,8.4,44.6,1,3.1,33,2.1,3.3,63.4,10.4,1.2,1.3,0.4,2
Daeshon Shepherd,G,33,32.6,10.6,3.9,9,43.9,1.1,3.5,30.7,1.6,2.4,67.5,5.6,0.7,0.8,0.7,0.8
Themus Fulks,G,29,29.5,10.6,3.9,9.7,40.4,0.3,1.3,25.6,2.3,3,77.3,2.8,4.4,1.3,0.1,2.7
Donovan Sanders,G,30,30.7,10.5,4,11,36.5,0.8,2.9,26.4,1.8,2.6,67.9,3,2.8,2.1,0.1,3.2
Peter Suder,G,31,32,10.5,3.8,9.2,41.1,0.6,2.4,24,2.4,3.3,72.5,4.3,3.3,1.2,0.3,2.2
Supreme Cook,F,32,27.2,10.5,3.9,6.8,57.5,0,0,0,2.6,4.6,57.1,8,0.6,0.8,0.5,1.5
Adam Hamilton,C,32,21.6,10.5,4.4,7.9,56.3,0,0,0,1.6,2.6,61.9,6.7,1.7,0.5,1.1,1.6
PJ Hayes IV,G,32,25.7,10.5,3.3,7.7,42.5,2.3,5.8,39.7,1.7,2.1,79.1,3.1,1.1,0.7,0.2,0.8
Jayden Nunn,G,35,28.6,10.5,3.3,7.3,45.5,1.4,3.3,43.9,2.4,3.3,70.9,2.6,2,1.3,0.4,1.4
Langdon Hatton,C,31,27.8,10.5,4.2,8.7,48,0.5,1.5,33.3,1.7,2.5,67.5,7.1,1.3,0.2,0.8,1
Aundre Hyatt,F,32,26,10.5,3.4,9,37.6,1.5,4.9,31.2,2.2,3,73.7,4.6,1.2,1,0.5,1
Tahron Allen,G,32,27.6,10.5,3.8,9.4,40.5,0.8,1.8,44.1,2,2.9,70.7,5.1,0.9,0.6,0.2,1.3
Tyrese Proctor,G,32,30.4,10.5,3.8,8.9,42.3,1.8,5.2,35.2,1.2,1.5,75.5,3,3.7,0.7,0.1,1.3
Collin Murray-Boyles,F,28,22.8,10.4,4.2,7,59.7,0,0.2,0,2.1,3.1,66.7,5.7,1.8,1,1,1.2
Jaquan Carlos,G,33,35.5,10.4,3.5,8.6,41.3,1.3,3.9,34.4,2,2.2,89.2,4.4,6.3,1.6,0.1,2.6
Kolby King,G,31,27.4,10.4,3.5,7.5,47.6,1.3,3.3,37.9,2.1,2.7,76.2,3.6,1.8,1.4,0.4,1.3
Maleeck Harden-Hayes,G,24,25.3,10.4,3.5,8.5,41.5,1.5,4.9,31.6,1.8,2.3,79.6,4.1,0.5,0.3,0.3,0.8
Derrian Ford,G,36,29.3,10.4,3.6,8.7,41.1,1.8,4.7,37.6,1.5,2,74.6,4.4,1.5,0.6,0,1
Shannon Grant,C,29,22.9,10.4,4.4,7.6,58.6,0,0,0,1.5,2.6,59.5,4.4,0.7,0.5,0.7,1.6
Clifford Omoruyi,C,32,26.9,10.4,4.1,7.9,51.2,0,0.2,20,2.3,3.7,61,8.3,0.5,0.7,2.9,1.4
Jasin Sinani,G,32,29,10.4,3.5,7.5,46.7,1.4,3.8,37.4,2,2.2,88.7,4.2,2.3,0.8,0.3,1.6
Nik Graves,G,30,29.7,10.4,3.1,6.7,45.5,0.8,2.3,32.9,3.5,4.4,80.2,3.1,2.8,1,0.1,1.1
Nate Lliteras,G,31,26.9,10.4,3.8,8.5,44.7,1.6,4.6,35.4,1.2,1.5,77.1,4.2,1.2,0.8,0.7,1.3
Damian Forrest,F,31,29,10.4,4.3,7.1,60.6,0,0,0,1.7,2.6,66.7,8.2,0.8,0.6,0.7,1.3
B. Artis White,G,26,27.6,10.4,3.5,9.3,37.9,2.2,5.6,38.6,1.2,1.5,75,3.2,3.2,1,0.1,2.1
Nick Johnson,G,32,27.8,10.4,3.1,7.4,41.9,1.1,3.1,35.4,3.1,5,62.3,3.5,1.7,1.4,0.3,1.8
Jaden Akins,G,35,28.5,10.4,4,9.8,41,1.8,5,36.4,0.5,0.7,73.9,3.9,1.2,1.1,0.4,1
Kentrell Pullian,G,35,28.8,10.4,3.4,8.4,41,1.2,4.3,27.5,2.3,3.1,75.9,4.7,2.1,1,0.1,1.3
Day Day Thomas,G,35,26.7,10.4,3.8,9.9,38.8,1,3.6,28,1.7,2.1,81.1,2.4,3.3,1.7,0.2,2.1
Nehemiah Benson,F,30,22.5,10.4,4.6,7.4,61.4,0.2,0.5,33.3,1.1,1.8,60.4,4.3,1.1,0.4,0.2,1
Josh Earley,F,28,21.4,10.4,4.8,8.3,58,0,0,0,0.8,1.4,57.9,5,0.4,0.4,0.3,1.5
Lonnell Martin Jr.,F,31,29.7,10.4,2.9,7.5,38.4,1.5,4.5,33.8,3.1,3.4,91.4,3.5,2.7,0.7,0.2,2
Dian Wright-Forde,G,31,21,10.4,3.9,9.4,41.6,0.6,2.4,25.7,1.9,2.7,71.4,2.6,1.6,1,0.3,1
Ryan Moffatt,F,34,29.6,10.4,3.6,8.4,43.3,1.9,5.2,37.3,1.2,1.6,74.1,4.3,1.7,0.9,0.1,0.6
Brandon Love,F,34,25.2,10.4,4.1,7.6,54.9,0,0,0,2.1,3.9,53,5.4,0.8,0.7,1.4,2
Yuri Covington,G,32,27.4,10.3,3.5,8.3,42.4,1.6,4.5,35.7,1.8,2.1,82.4,5,1.1,1.3,0.2,1.3
Kyndall Davis,G,32,26.5,10.3,4.1,10.4,39.2,0.8,2.9,25.8,1.5,2.3,65.3,4.3,1.6,1.4,0.7,1.4
Dean Noll,G,35,27.8,10.3,3.8,9.4,40.4,1.4,3.8,36.4,1.4,1.7,80,3,1.9,1.3,0.1,1.7
Patrick Cartier,F,35,23.1,10.3,3.9,7.6,51.5,0.9,2.5,36,1.6,1.9,84.8,2.7,1.9,0.5,0.2,1.1
Brandon Whitney,G,36,31.5,10.3,3.7,7.3,51,0.4,0.9,40.6,2.5,3.1,81.3,2.9,4.1,0.6,0.1,1.3
August Mahoney,G,33,27.1,10.3,3.3,6.9,47.8,2.2,4.8,45.3,1.5,1.8,85,2.5,1.3,0.6,0.1,0.9
Spencer Johnson,G,34,27.8,10.3,3.6,8.7,41.8,1.3,4.3,29.7,1.8,2.2,81.1,6.3,3.3,1,0.1,1.6
Andre Henry,G,34,26.7,10.3,3.6,7.8,45.7,1.4,3.4,42.1,1.8,2.3,78.2,3.7,0.9,0.8,0.1,0.8
Cole Anderson,G,31,31.7,10.3,3.5,8.8,40.4,2.5,5.9,41.3,0.8,0.8,96,1.8,1.1,0.5,0,0.8
Jarred Hyder,G,25,34,10.3,3.5,10.7,32.5,1.9,6,31.8,1.4,1.7,83.7,2.6,2.5,1.2,0.2,2.1
Luka Sakota,G,26,28.4,10.3,3.3,8.8,37.3,1.4,4.6,30.8,2.3,2.7,85.9,2.6,2.4,0.6,0.2,1.2
Fletcher Loyer,G,39,27.8,10.3,3.2,7.8,41.6,1.6,3.6,44.4,2.2,2.6,86.1,2.1,1.9,0.8,0,1.2
Greg Tribble,G,34,29.2,10.3,3.6,7.9,45.7,0.8,2.3,35.4,2.3,3.1,73.6,2.5,2.1,0.6,0.3,1.4
Braelon Bush,PG,31,31.5,10.3,3.7,9.5,38.8,1.1,3.7,28.4,1.9,2.3,81.7,2.1,3.1,0.9,0,2
Khristion Courseault,G,32,25.8,10.3,3.4,8.4,40.5,1.1,3.3,33,2.4,3.4,69.1,2.2,4.1,0.8,0.2,2.3
Harlan Obioha,F,32,26.6,10.3,3.9,6.1,63.3,0,0,0,2.5,4,63.3,7.8,1.2,0.3,0.8,2
Dyondre Dominguez,F,37,25.3,10.3,3.5,8.2,42.4,1.6,4.8,33.9,1.7,2.2,75.6,5.8,1.5,0.7,0.5,1.6
Jason Spurgin,C,34,30.4,10.3,3.8,8.3,45.7,1.1,3.4,33.9,1.5,2.2,68.4,5.6,1.6,0.8,1,1.8
Jacari White,G,32,29.3,10.3,3.7,7.7,47.8,2.1,4.5,45.5,0.8,1.1,76.5,3.8,1.7,0.9,0.2,1.5
Jordan Nesbitt,G,25,30.4,10.2,3.6,10.8,33.6,0.8,3.4,24.7,2.1,3,69.7,4.9,4.3,0.8,0.8,2.6
Mike Mitchell Jr.,G,34,29.6,10.2,3.6,8.7,42,2.1,5.2,39.9,0.9,1.1,80.6,2.7,2.6,1.5,0.1,1.8
Eren Banks,G,30,28.5,10.2,3.7,8.6,43,1.6,4.2,38.9,1.2,1.6,75,2.6,1.9,0.9,0.2,2.1
Marcus Niblack,G,26,23.9,10.2,3.7,8.3,45.1,0.5,1.1,41.4,2.3,3.3,69.8,3.7,2.6,1.3,0.2,3
Devin McGlockton,F,36,29.9,10.2,4.1,7.2,57.5,0.6,1.7,36.7,1.3,1.8,72.7,6.3,1.3,0.6,0.8,1
Dyson Koehler,F,32,30.4,10.2,3.2,7.6,41.7,1.5,4.6,33.3,2.4,3.3,73.1,3.9,0.7,1.3,0.3,0.5
Jayden Jackson,G,33,29.5,10.2,3.8,7.4,51,0.2,1,21.2,2.5,3.3,75.2,4.2,2,0.8,0.2,1.5
Dylan Williamson,G,34,26.4,10.2,3.6,9.1,40.3,1.5,4.4,33.8,1.4,2.1,68.1,1.6,2.9,1,0,1.5
Paul Bruns,G,32,27.8,10.2,3.2,8.4,37.9,1.8,5.3,34.5,2,2.4,81.8,4.5,1.1,0.5,0.1,0.8
Elijah Fisher,G,32,31.8,10.2,3.7,7.2,52,0.3,1.2,26.3,2.4,3.4,72.2,3.8,1.4,0.8,0.3,1.6
Ryan Curry,G,32,30,10.2,3.7,9.4,38.9,1.9,5.4,34.7,1,1.4,69.6,3,3.1,0.7,0.2,1.8
Braeden Shrewsberry,G,33,28.2,10.2,3.5,8.8,39.8,2.4,6.4,37.1,0.8,1,82.4,2.5,0.9,0.5,0,1.2
DJ Patrick,G,25,31,10.2,3.6,9.9,35.9,2.1,6.4,32.3,1,1.4,70.6,4.1,1.4,0.4,0.4,0.9
Joshua Jefferson,F,26,25,10.2,4,8.6,46.9,0.6,2.3,26.7,1.5,2,73.1,6.5,2.3,1.2,0.4,1.5
Dji Bailey,G,33,31.2,10.2,3.9,6.6,59.4,0.4,1.2,31.6,1.9,3.4,56.8,4.4,2.2,1.7,0.3,1.1