Quarter,Samsung,Huawei*,Apple,Xiaomi*,OPPO,LG*,Lenovo*,ZTE*,vivo,Sony*,RIM*,HTC*,Nokia*,Transsion,Others
Q4 '09,3.30,-,16.10,-,-,-,-,-,-,-,19.90,4.50,38.60,-,17.60
Q1 '10,4.30,-,15.70,-,-,-,-,-,-,-,19.10,4.90,38.80,-,17.20
Q2 '10,5.60,-,13,-,-,-,-,-,-,-,17.40,6.80,37.30,-,19.90
Q3 '10,8.80,-,17,-,-,-,-,-,-,-,15,7.10,32,-,20.10
Q4 '10,9.40,-,15.90,-,-,-,-,-,-,-,14.30,8.50,27.60,-,24.30
Q1 '11,11.30,-,18.30,-,-,-,-,-,-,-,13.60,8.90,23.80,-,24.10
Q2 '11,17,-,18.80,-,-,-,-,1.80,-,-,11.50,10.70,15.40,-,24.80
Q3 '11,22.70,-,13.80,-,-,-,-,3.30,-,-,9.60,10.30,13.60,-,26.70
Q4 '11,22.50,3.50,23,-,-,-,-,4,-,3.90,8.10,6.40,12.20,-,16.40
Q1 '12,28.80,3.30,23,-,-,3.20,-,4,-,3.60,6.40,4.50,7.80,-,15.40
Q2 '12,32.20,4.10,16.60,-,-,3.70,3.10,4.10,-,4.70,4.90,5.90,6.60,-,14
Q3 '12,31,3.80,14.40,-,-,3.80,3.70,4.40,-,4.70,4.30,4,-,-,25.70
Q4 '12,29.10,4.60,20.90,-,-,3.80,4.10,4.40,-,4.50,-,-,-,-,28.60
Q1 '13,31.90,4.30,17.10,-,-,4.70,3.60,4.20,-,-,-,-,-,-,33.80
Q2 '13,32.30,4.30,13,-,-,5,4.70,4.20,-,-,-,-,-,-,36.40
Q3 '13,32.50,4.80,12.90,2.10,-,4.60,4.70,-,-,-,-,-,-,-,38.40
Q4 '13,28.80,5.66,17.43,2.03,-,4.60,4.51,-,-,-,-,-,-,-,36.94
Q1 '14,30.70,4.70,15.20,-,-,4.30,4.40,-,-,-,-,-,-,-,40.80
Q2 '14,24.80,6.70,11.70,4.60,-,4.90,5.20,-,-,-,-,-,-,-,42.10
Q3 '14,23.90,5,11.80,5.20,-,5.10,5.10,-,-,-,-,-,-,-,43.90
Q4 '14,19.90,6.30,19.70,4.40,-,-,3.70,-,-,-,-,-,-,-,46.10
Q1 '15,24.60,5.20,18.30,-,2.20,4.60,5.60,-,1.90,-,-,-,-,-,37.60
Q2 '15,21.30,8.60,13.90,5.30,2.80,-,4.80,-,2.70,-,-,-,-,-,40.60
Q3 '15,23.30,7.60,13.40,5.20,3.20,-,5.30,-,2.90,-,-,-,-,-,39.10
Q4 '15,20.40,8.20,18.70,4.60,3.60,-,5.10,-,3,-,-,-,-,-,36.40
Q1 '16,23.80,8.40,15.40,-,5.90,-,-,-,4.40,-,-,-,-,-,42.10
Q2 '16,22.70,9.30,11.70,3.90,6.60,-,-,-,4.80,-,-,-,-,-,41
Q3 '16,20.90,9.30,12.50,3.70,7.10,-,-,-,5.80,-,-,-,-,-,40.70
Q4 '16,18,10.50,18.20,3.30,7.30,-,-,-,5.80,-,-,-,-,-,36.90
Q1 '17,23.30,10,14.70,4.30,7.50,-,-,-,5.20,-,-,-,-,-,35
Q2 '17,22.90,11,11.80,6.20,8,-,-,-,-,-,-,-,-,-,40.10
Q3 '17,22.10,10.40,12.40,7.50,8.10,-,-,-,-,-,-,-,-,-,39.60
Q4 '17,18.90,10.70,19.60,7.10,6.90,-,-,-,-,-,-,-,-,-,36.80
Q1 '18,23.50,11.80,15.70,8.40,7.40,-,-,-,5.60,-,-,-,-,-,27.60
Q2 '18,21,15.90,12.10,9.50,8.60,-,-,-,-,-,-,-,-,-,32.90
Q3 '18,20.30,14.60,13.20,9.70,8.40,-,-,-,-,-,-,-,-,-,33.80
Q4 '18,18.70,16.10,18.20,7.60,7.80,-,-,-,-,-,-,-,-,-,31.50
Q1 '19,23.10,19,11.70,8,7.40,-,-,-,7.50,-,-,-,-,-,23.30
Q2 '19,22.70,17.60,10.10,9.70,8.90,-,-,-,-,-,-,-,-,-,31
Q3 '19,21.80,18.60,13,9.10,8.70,-,-,-,-,-,-,-,-,-,28.70
Q4 '19,18.80,15.20,20,8.90,8.30,-,-,-,-,-,-,-,-,-,28.70
Q1 '20,21.10,17.80,13.30,10.70,-,-,-,-,9,-,-,-,-,-,28.10
Q2 '20,19.50,20,13.50,10.20,8.60,-,-,-,-,-,-,-,-,-,28.20
Q3 '20,22.70,-,11.70,13.10,8.60,-,-,-,8.90,-,-,-,-,-,35
Q4 '20,19.10,8.40,23.40,11.20,8.80,-,-,-,-,-,-,-,-,-,29.10
Q1 '21,21.80,-,16,14.10,10.80,-,-,-,10.10,-,-,-,-,-,27.20
Q2 '21,18.90,-,14.20,16.90,10.50,-,-,-,10.10,-,-,-,-,-,29.50
Q3 '21,20.80,-,15.20,13.40,10,-,-,-,10.10,-,-,-,-,-,30.50
Q4 '21,19,-,23.40,12.40,8.30,-,-,-,7.80,-,-,-,-,-,29
Q1 '22,23.40,-,18,12.70,8.70,-,-,-,8.10,-,-,-,-,-,29.10
Q2 '22,21.80,-,15.60,13.80,8.60,-,-,-,8.70,-,-,-,-,-,31.50
Q3 '22,21.20,-,17.20,13.40,8.60,-,-,-,8.60,-,-,-,-,-,31
Q4 '22,19.40,-,24.10,11,8.40,-,-,-,7.60,-,-,-,-,-,29.40
Q1 '23,22.50,-,20.50,11.40,10.20,-,-,-,7.60,-,-,-,-,-,27.70
Q2 '23,20.20,-,16,12.50,9.60,-,-,-,-,-,-,-,-,9.50,32.20
Q3 '23,19.70,-,17.70,13.70,8.90,-,-,-,-,-,-,-,-,8.60,31.40
Q4 '23,16.30,-,24.70,12.50,-,-,-,-,7.40,-,-,-,-,8.60,30.50
Q1 '24,20.80,-,17.30,14.10,8.70,-,-,-,-,-,-,-,-,9.90,29.30
Q2 '24,18.90,-,15.80,14.80,9,-,-,-,9.10,-,-,-,-,-,32.30
Q3 '24,18.30,-,17.70,13.50,9.10,-,-,-,8.50,-,-,-,-,-,32.80
Q4 '24,15.60,-,23.20,12.90,-,-,-,-,8.20,-,-,-,-,8.20,32