Year,Tickets Sold,Total Box Office,Total Inflation Adjusted Box Office,Average Ticket Price
2025,697444611,7888098551,7888098551,11.31
2024,762161238,8620046749,8620046964,11.31
2023,819306691,8963217610,9266358669,10.94
2022,702373460,7395994572,7943843838,10.53
2021,444250543,4518029580,5024473637,10.17
2020,219986842,2019481070,2488051184,9.18
2019,1225563974,11226168620,13861128548,9.16
2018,1311558716,11948302425,14833727968,9.11
2017,1225762392,10995091460,13863372665,8.97
2016,1302610878,11267587337,14732529022,8.65
2015,1336743967,11268754656,15118574269,8.43
2014,1257327489,10272368746,14220373900,8.17
2013,1339166251,10887424599,15145970298,8.13
2012,1382840535,11007413639,15639926442,7.96
2011,1282915590,10173523046,14509775320,7.93
2010,1328787540,10484135922,15028586742,7.89
2009,1418567388,10639257284,16043988821,7.5
2008,1358069603,9750941820,15359767200,7.18
2007,1420164148,9770731899,16062056511,6.88
2006,1401392669,9179124447,15849751091,6.55
2005,1373062008,8801329592,15529331310,6.41
2004,1496253578,9291736694,16922627987,6.21
2003,1525189405,9196893999,17249892183,6.03
2002,1575921670,9156106691,17823674086,5.81
2001,1466351713,8299552336,16584437879,5.66
2000,1395250502,7520401854,15780283178,5.39
1999,1444661989,7338884198,16339127088,5.08
1998,1454585697,6822007916,16451364229,4.69
1997,1349765352,6195423856,15265846145,4.59
1996,1305793554,5771608313,14768506285,4.42
1995,1221788544,5314780870,13818428426,4.35